Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740728472,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.29%,"10.5MiB / 20MiB",52.50%,"533MB / 456MB","0B / 0B",12
1740728472,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.96%,"40.8MiB / 7.637GiB",0.52%,"12.9MB / 17MB","0B / 0B",37
1740728472,539c889625b4,reverse-proxy-api-1,539c889625b4,2.59%,"97.98MiB / 7.637GiB",1.25%,"9.71MB / 6.33MB","0B / 0B",15
1740728485,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.00%,"10.51MiB / 20MiB",52.56%,"533MB / 456MB","0B / 0B",12
1740728485,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.45%,"40.8MiB / 7.637GiB",0.52%,"12.9MB / 17MB","0B / 0B",37
1740728485,539c889625b4,reverse-proxy-api-1,539c889625b4,4.19%,"98.7MiB / 7.637GiB",1.26%,"9.71MB / 6.33MB","0B / 0B",17
1740728497,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.70%,"10.63MiB / 20MiB",53.14%,"534MB / 457MB","0B / 0B",12
1740728497,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,1.50%,"40.81MiB / 7.637GiB",0.52%,"12.9MB / 17MB","0B / 0B",37
1740728497,539c889625b4,reverse-proxy-api-1,539c889625b4,5.85%,"100.2MiB / 7.637GiB",1.28%,"9.72MB / 6.33MB","0B / 0B",19
1740728509,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.61%,"10.64MiB / 20MiB",53.22%,"535MB / 458MB","0B / 0B",12
1740728509,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.16%,"40.81MiB / 7.637GiB",0.52%,"12.9MB / 17MB","0B / 0B",37
1740728509,539c889625b4,reverse-proxy-api-1,539c889625b4,0.29%,"100.2MiB / 7.637GiB",1.28%,"9.73MB / 6.34MB","0B / 0B",20
1740728522,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.57%,"10.54MiB / 20MiB",52.70%,"536MB / 459MB","0B / 0B",12
1740728522,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.21%,"39.5MiB / 7.637GiB",0.51%,"12.9MB / 17MB","0B / 0B",37
1740728522,539c889625b4,reverse-proxy-api-1,539c889625b4,0.30%,"97.43MiB / 7.637GiB",1.25%,"9.74MB / 6.34MB","0B / 0B",21
1740728534,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.58%,"10.55MiB / 20MiB",52.77%,"537MB / 460MB","0B / 0B",12
1740728534,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.11%,"39.52MiB / 7.637GiB",0.51%,"12.9MB / 17MB","0B / 0B",37
