DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 16:41:11,10,9,0,1050.889,88.709,4.5,43,193.5,0,0,15.667,35.889
2025-02-28 16:41:13,18,34,0,1022.824,62.061,17,43,731,0,0,6.912,11.882
2025-02-28 16:41:15,24,31,0,1019.097,75.134,15.5,43.161,669,0,0,2.871,5
2025-02-28 16:41:17,30,49,0,996.347,59.21,24.5,44,1078,0,0,3.245,6.163
2025-02-28 16:41:19,37,67,0,995.582,64.287,33.5,44,1474,0,0,2.955,5.239
2025-02-28 16:41:21,46,78,0,998.462,66.293,39,44.154,1722,0,0,1.667,3.526
2025-02-28 16:41:23,50,98,0,1003.357,64.021,49,45,2205,0,0,2.245,4.459
2025-02-28 16:41:25,57,99,0,997.586,66.185,49.5,45,2227.5,0,0,1.798,3.586
2025-02-28 16:41:27,65,117,0,1011.12,64.929,58.5,44.615,2610,0,0,2.051,4.812
2025-02-28 16:41:29,70,131,0,1005.664,73.595,65.5,42,2751,0,0,2.145,4.405
2025-02-28 16:41:31,78,146,0,1000.116,64.045,73,42,3066,0,0,2.048,3.938
2025-02-28 16:41:33,84,160,0,1009.656,68.041,80,42.169,3373.5,0,0,3.2,6.044
2025-02-28 16:41:35,90,172,0,1009.116,61.084,86,43,3698,0,0,2.43,4.343
2025-02-28 16:41:37,98,183,0,1008.126,62.533,91.5,43,3934.5,0,0,1.918,3.656
2025-02-28 16:41:39,104,198,0,1012.545,72.285,99,43.131,4270,0,0,2.056,5.071
2025-02-28 16:41:41,110,211,0,999.355,65.264,105.5,44,4642,0,0,1.919,3.948
2025-02-28 16:41:43,119,231,0,1001.883,62.418,115.5,44,5082,0,0,1.97,3.723
2025-02-28 16:41:45,127,238,0,998.437,64.606,119,43.992,5235,0,0,1.966,4.307
2025-02-28 16:41:47,130,256,0,1006.262,64.699,128,44,5632,0,0,1.699,3.582
2025-02-28 16:41:49,140,264,0,1011.795,65.809,132,44,5808,0,0,1.75,3.769
2025-02-28 16:41:51,145,279,0,1007.875,64.762,139.5,43.964,6133,0,0,2.14,4.789
2025-02-28 16:41:53,150,299,0,1000.288,70.289,149.5,44,6578,0,0,1.9,3.843
2025-02-28 16:41:55,159,300,0,1001.847,65.062,150,44,6600,0,0,1.81,3.407
2025-02-28 16:41:57,166,319,0,1003.806,62.805,159.5,43.991,7016.5,0,0,2.031,4.652
2025-02-28 16:41:59,170,335,0,1013.421,63.627,167.5,44,7370,0,0,1.86,3.773
2025-02-28 16:42:01,180,341,0,1006.499,67.681,170.5,44,7502,0,0,1.704,3.425
2025-02-28 16:42:03,185,355,0,1007.617,69.103,177.5,44.054,7819.5,0,0,1.637,5.411
2025-02-28 16:42:05,190,377,0,1008.098,66.39,188.5,44,8294,0,0,2.183,4.231
2025-02-28 16:42:07,199,380,0,1010.355,64.64,190,44,8360,0,0,1.837,3.845
2025-02-28 16:42:09,204,399,0,1003.549,64.338,199.5,44.441,8866,0,0,1.398,2.867
2025-02-28 16:42:11,210,416,0,1003.022,60.429,208,46,9568,0,0,1.498,3.014
2025-02-28 16:42:13,219,424,0,1001.292,67.176,212,46,9752,0,0,1.649,3.325
2025-02-28 16:42:15,226,437,0,1006.979,65.014,218.5,45.67,9979,0,0,1.309,3.362
2025-02-28 16:42:17,230,453,0,1005.494,64.301,226.5,45,10192.5,0,0,0.927,1.808
2025-02-28 16:42:19,239,464,0,1004.765,69.209,232,45,10440,0,0,1.358,2.698
2025-02-28 16:42:21,246,479,0,1007.413,63.594,239.5,44.476,10652,0,0,1.309,2.639
2025-02-28 16:42:23,250,499,0,999.248,63.278,249.5,43,10728.5,0,0,1.275,2.581
2025-02-28 16:42:25,255,501,0,1006.369,64.824,250.5,43,10771.5,0,0,1.154,2.208
2025-02-28 16:42:27,264,514,0,1006.965,65.182,257,43.031,11059,0,0,1.455,3.846
2025-02-28 16:42:29,270,540,0,1001.183,61.82,270,43,11610,0,0,1.513,2.859
2025-02-28 16:42:31,276,545,0,1000.868,67.386,272.5,43,11717.5,0,0,1.338,2.543
2025-02-28 16:42:33,283,556,0,1005.277,64.891,278,43.282,12032.5,0,0,1.151,2.387
2025-02-28 16:42:35,290,571,0,1007.606,69.172,285.5,44,12562,0,0,1.179,2.287
2025-02-28 16:42:37,300,580,0,1006.671,63.214,290,44,12760,0,0,1.369,2.636
2025-02-28 16:42:39,303,589,0,1002.907,67.62,294.5,43.997,12957,0,0,1.134,2.589
2025-02-28 16:42:41,310,624,0,1001.848,65.008,312,44,13728,0,0,1.266,2.359
2025-02-28 16:42:43,316,626,0,1004.666,64.617,313,44,13772,0,0,1.519,2.869
2025-02-28 16:42:45,324,637,0,1004.801,64.964,318.5,43.727,13927,0,0,1.036,3.352
2025-02-28 16:42:47,330,646,0,1003.904,68.097,323,43,13889,0,0,1.102,2.054
2025-02-28 16:42:49,338,663,0,1002.655,63.206,331.5,43,14254.5,0,0,1.009,2.056
2025-02-28 16:42:51,343,682,0,998.975,65.036,341,43.239,14744.5,0,0,0.757,1.736
2025-02-28 16:42:53,350,687,0,1003.902,70.191,343.5,44,15114,0,0,0.987,1.934
2025-02-28 16:42:55,356,730,0,1003.992,64.685,365,44,16060,0,0,1.022,2.362
2025-02-28 16:42:57,364,718,0,1006.698,67.625,359,43.72,15695.5,0,0,1.493,4.127
2025-02-28 16:42:59,370,742,0,1007.513,68.21,371,43,15953,0,0,2.566,6.066
2025-02-28 16:43:01,376,729,0,1007.971,69.296,364.5,43,15673.5,0,0,1.7,3.525
2025-02-28 16:43:03,384,759,0,1000.852,65.013,379.5,43.008,16321.5,0,0,1.466,2.768
