Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740727946,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.10%,"10.2MiB / 20MiB",51.02%,"383MB / 328MB","0B / 0B",12
1740727946,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.30%,"45.04MiB / 7.637GiB",0.58%,"8.48MB / 11.1MB","0B / 0B",37
1740727946,539c889625b4,reverse-proxy-api-1,539c889625b4,0.27%,"95.68MiB / 7.637GiB",1.22%,"6.37MB / 4.16MB","0B / 0B",15
1740727958,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,2.89%,"10.2MiB / 20MiB",51.02%,"383MB / 328MB","0B / 0B",12
1740727958,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.15%,"45.06MiB / 7.637GiB",0.58%,"8.51MB / 11.2MB","0B / 0B",37
1740727958,539c889625b4,reverse-proxy-api-1,539c889625b4,0.28%,"95.49MiB / 7.637GiB",1.22%,"6.4MB / 4.18MB","0B / 0B",21
1740727970,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.82%,"10.33MiB / 20MiB",51.66%,"384MB / 329MB","0B / 0B",12
1740727970,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.16%,"45.08MiB / 7.637GiB",0.58%,"8.54MB / 11.2MB","0B / 0B",37
1740727970,539c889625b4,reverse-proxy-api-1,539c889625b4,0.26%,"98.07MiB / 7.637GiB",1.25%,"6.41MB / 4.19MB","0B / 0B",22
1740727982,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.31%,"10.36MiB / 20MiB",51.82%,"386MB / 330MB","0B / 0B",12
1740727982,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,1.49%,"44.62MiB / 7.637GiB",0.57%,"8.58MB / 11.3MB","0B / 0B",37
1740727982,539c889625b4,reverse-proxy-api-1,539c889625b4,0.45%,"100.1MiB / 7.637GiB",1.28%,"6.45MB / 4.21MB","0B / 0B",23
1740727995,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.49%,"10.26MiB / 20MiB",51.29%,"387MB / 331MB","0B / 0B",12
1740727995,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.23%,"44.64MiB / 7.637GiB",0.57%,"8.61MB / 11.3MB","0B / 0B",37
1740727995,539c889625b4,reverse-proxy-api-1,539c889625b4,0.30%,"100.1MiB / 7.637GiB",1.28%,"6.47MB / 4.22MB","0B / 0B",20
1740728007,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.68%,"10.29MiB / 20MiB",51.43%,"389MB / 333MB","0B / 0B",12
1740728007,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.23%,"44.66MiB / 7.637GiB",0.57%,"8.69MB / 11.4MB","0B / 0B",37
1740728007,539c889625b4,reverse-proxy-api-1,539c889625b4,0.35%,"102.9MiB / 7.637GiB",1.32%,"6.53MB / 4.27MB","0B / 0B",24
1740728019,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,8.58%,"10.27MiB / 20MiB",51.37%,"391MB / 335MB","0B / 0B",12
1740728019,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.23%,"44.55MiB / 7.637GiB",0.57%,"8.81MB / 11.6MB","0B / 0B",37
1740728019,539c889625b4,reverse-proxy-api-1,539c889625b4,0.31%,"104.1MiB / 7.637GiB",1.33%,"6.62MB / 4.32MB","0B / 0B",26
1740728031,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.16%,"10.28MiB / 20MiB",51.41%,"393MB / 337MB","0B / 0B",12
1740728031,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.17%,"43.85MiB / 7.637GiB",0.56%,"8.87MB / 11.7MB","0B / 0B",37
1740728031,539c889625b4,reverse-proxy-api-1,539c889625b4,0.29%,"108.7MiB / 7.637GiB",1.39%,"6.67MB / 4.35MB","0B / 0B",22
1740728044,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,8.89%,"10.22MiB / 20MiB",51.11%,"396MB / 339MB","0B / 0B",12
1740728044,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.82%,"42.26MiB / 7.637GiB",0.54%,"8.93MB / 11.7MB","0B / 0B",37
1740728044,539c889625b4,reverse-proxy-api-1,539c889625b4,33.41%,"106.3MiB / 7.637GiB",1.36%,"6.71MB / 4.38MB","0B / 0B",22
1740728056,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,9.49%,"9.938MiB / 20MiB",49.69%,"399MB / 341MB","0B / 0B",12
1740728056,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.25%,"40.51MiB / 7.637GiB",0.52%,"9MB / 11.8MB","0B / 0B",37
1740728056,539c889625b4,reverse-proxy-api-1,539c889625b4,0.39%,"107.3MiB / 7.637GiB",1.37%,"6.76MB / 4.42MB","0B / 0B",23
1740728068,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,22.34%,"10.16MiB / 20MiB",50.82%,"402MB / 344MB","0B / 0B",12
1740728068,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.10%,"40.32MiB / 7.637GiB",0.52%,"9.09MB / 12MB","0B / 0B",37
1740728068,539c889625b4,reverse-proxy-api-1,539c889625b4,0.20%,"104.9MiB / 7.637GiB",1.34%,"6.83MB / 4.46MB","0B / 0B",26
1740728080,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,8.84%,"10.05MiB / 20MiB",50.25%,"405MB / 347MB","0B / 0B",12
1740728080,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.21%,"40.45MiB / 7.637GiB",0.52%,"9.24MB / 12.1MB","0B / 0B",37
