DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 16:32:09,10,20,0,1031.85,77.529,10,41.9,419,0,0,9.75,28.8
2025-02-28 16:32:11,20,42,0,1005.31,62.534,21,42,882,0,0,4.5,7.881
2025-02-28 16:32:13,29,29,0,1027.103,98.022,14.5,41.793,606,0,0,3.241,21.517
2025-02-28 16:32:15,31,75,0,1015.827,59.507,37.5,41,1537.5,0,0,3.24,6.853
2025-02-28 16:32:17,40,76,0,1019.776,62.901,38,41,1558,0,0,2.434,4.592
2025-02-28 16:32:19,50,87,0,997.138,58.957,43.5,40.494,1761.5,0,0,2.483,5.494
2025-02-28 16:32:21,52,100,0,1001.47,69.373,50,40,2000,0,0,2.54,4.61
2025-02-28 16:32:23,60,116,0,1004.655,65.992,58,40,2320,0,0,2.724,5.043
2025-02-28 16:32:25,69,125,0,1008.312,61.738,62.5,40.96,2560,0,0,2.192,4.984
2025-02-28 16:32:27,72,141,0,1001.156,62.834,70.5,42,2961,0,0,1.78,3.518
2025-02-28 16:32:29,80,152,0,1008.52,62.212,76,42,3192,0,0,2.039,4.296
2025-02-28 16:32:31,89,162,0,1064.617,160.407,81,41.753,3382,0,0,1.778,64.901
2025-02-28 16:32:33,92,181,0,1013.243,81.859,90.5,42.028,3803.5,0,0,2.304,6.713
2025-02-28 16:32:35,100,200,0,1007.255,66.821,100,42,4200,0,0,2.225,4.34
2025-02-28 16:32:37,110,199,0,1019.724,78.842,99.5,41.955,4174.5,0,0,1.719,11.648
2025-02-28 16:32:39,114,225,0,1007.058,64.825,112.5,42,4725,0,0,1.547,2.627
2025-02-28 16:32:41,120,234,0,1008.624,63.816,117,42,4914,0,0,1.5,2.688
2025-02-28 16:32:43,130,234,0,1051.158,155.265,117,41.859,4897.5,0,0,1.214,49.333
2025-02-28 16:32:45,133,259,0,1003.552,67.415,129.5,43,5568.5,0,0,2,3.992
2025-02-28 16:32:47,140,277,0,1000.877,64.357,138.5,43,5955.5,0,0,1.567,3.105
2025-02-28 16:32:49,150,289,0,1005.917,67.105,144.5,43.01,6215,0,0,0.941,1.92
2025-02-28 16:32:51,152,300,0,1007.44,65.888,150,43,6450,0,0,1.71,3.653
2025-02-28 16:32:53,160,316,0,1002.218,63.255,158,43,6794,0,0,1.168,2.532
2025-02-28 16:32:55,170,311,0,1044.106,144.638,155.5,42.576,6620.5,0,0,1.238,39.257
2025-02-28 16:32:57,172,338,0,1007.393,61.995,169,42,7098,0,0,1.32,2.53
2025-02-28 16:32:59,180,263,0,990.935,64.638,131.5,42,5523,0,0,1.376,2.582
2025-02-28 16:33:01,190,366,0,1021.574,107.63,183,42.096,7703.5,0,0,1.751,21.801
2025-02-28 16:33:03,193,378,0,999.519,72.655,189,41.045,7757.5,0,0,1.582,6.307
2025-02-28 16:33:05,200,383,0,1003.201,65.671,191.5,41,7851.5,0,0,2.376,3.963
2025-02-28 16:33:07,209,402,0,1003.784,71.644,201,41.361,8313.5,0,0,0.968,4.607
2025-02-28 16:33:09,213,425,0,1004.202,62.613,212.5,42,8925,0,0,1.435,2.553
2025-02-28 16:33:11,220,431,0,1004.306,67.08,215.5,42,9051,0,0,0.919,1.752
2025-02-28 16:33:13,230,435,0,1010.522,81.901,217.5,42.186,9175.5,0,0,0.761,11.906
2025-02-28 16:33:15,233,462,0,1004.84,65.94,231,43,9933,0,0,1.305,2.476
2025-02-28 16:33:17,240,461,0,1007.677,65.077,230.5,43,9911.5,0,0,0.954,1.768
2025-02-28 16:33:19,249,450,0,1029.053,126.009,225,42.736,9615.5,0,0,0.944,23.609
2025-02-28 16:33:21,253,492,0,1061.791,237.082,246,36.559,8993.5,0,0,0.862,62.057
2025-02-28 16:33:23,260,519,0,1001.821,66.608,259.5,34,8823,0,0,0.979,1.757
2025-02-28 16:33:25,270,513,0,1003.634,66.235,256.5,34,8721,0,0,1.099,2.209
2025-02-28 16:33:27,273,521,0,1036.756,139.596,260.5,40.495,10549,0,0,1.077,35.785
2025-02-28 16:33:29,280,553,0,1008.186,64.585,276.5,42,11613,0,0,1.165,2.096
2025-02-28 16:33:31,290,558,0,1002.391,68.193,279,42,11718,0,0,1.324,3.14
2025-02-28 16:33:33,295,551,0,1062.695,211.696,275.5,42.149,11612,0,0,1.174,61.777
2025-02-28 16:33:35,300,585,0,1000.925,64.123,292.5,42,12285,0,0,1.246,2.321
2025-02-28 16:33:37,310,605,0,1006.314,65.771,302.5,42,12705,0,0,1.031,1.926
2025-02-28 16:33:39,315,576,0,1016.72,105.354,288,41.934,12077,0,0,0.885,17.262
2025-02-28 16:33:41,320,610,0,1107.807,350.642,305,42.002,12810.5,0,0,1.074,107.389
2025-02-28 16:33:43,330,640,0,1002.172,65.226,320,42,13440,0,0,1.183,2.409
2025-02-28 16:33:45,335,647,0,1003.794,65.656,323.5,42,13587,0,0,0.794,1.502
2025-02-28 16:33:47,340,634,0,1063.759,229.654,317,42.257,13395.5,0,0,2.096,61.866
2025-02-28 16:33:49,350,678,0,1009.316,65.138,339,42,14238,0,0,0.999,2.125
2025-02-28 16:33:51,353,700,0,1001.736,64.087,350,42,14700,0,0,1.046,2.07
2025-02-28 16:33:53,360,711,0,1001.729,70.335,355.5,42.436,15086,0,0,0.878,6.21
2025-02-28 16:33:55,370,723,0,1004.01,62.87,361.5,44,15906,0,0,1.266,2.313
2025-02-28 16:33:57,374,739,0,1002.954,65.518,369.5,44,16258,0,0,1.007,1.984
2025-02-28 16:33:59,380,725,0,1022.095,104.036,362.5,43.503,15770,0,0,1.967,18.648
2025-02-28 16:34:01,390,769,0,1017.454,129.429,384.5,42.949,16514,0,0,1.081,19.135
2025-02-28 16:34:03,394,775,0,997.787,65.798,387.5,43,16662.5,0,0,0.937,1.848
2025-02-28 16:34:05,400,794,0,1001.382,66.921,397,43,17071,0,0,0.805,1.649
2025-02-28 16:34:07,410,808,0,1009.193,74.477,404,42.092,17005,0,0,0.912,6.39
2025-02-28 16:34:09,414,816,0,1004.007,65.418,408,42,17136,0,0,1.098,2.357
2025-02-28 16:34:11,420,826,0,1001.277,66.479,413,42,17346,0,0,0.677,1.246
2025-02-28 16:34:13,430,786,0,1076.632,273.325,393,42.154,16566.5,0,0,0.804,77.134
2025-02-28 16:34:15,433,848,0,1013.527,118.224,424,43.971,18643.5,0,0,1.572,9.533
2025-02-28 16:34:17,440,923,0,1002.502,65.287,461.5,44,20306,0,0,1.275,2.467
